Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,AI_Impact_Level,Automation_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2024,Germany,Microsoft,AI Engineer,Junior,164043,100,High Demand,Low,80,6,42
2024,UK,TCS,Data Analyst,Senior,92401,78,Growing Demand,Medium,51,8,42
2023,Canada,Wipro,Backend Developer,Senior,81462,77,Moderate Impact,High,80,9,44
2024,USA,Meta,Mobile Developer,Junior,136090,65,Moderate Impact,High,57,7,37
2025,USA,Accenture,Backend Developer,Mid,144253,86,Moderate Impact,High,61,6,39
2025,UK,Microsoft,AI Engineer,Junior,103962,99,High Demand,Low,86,7,47
2024,UK,Wipro,Data Analyst,Senior,83473,74,Growing Demand,Medium,85,8,48
2025,UK,Accenture,Mobile Developer,Mid,108209,59,Moderate Impact,Medium,53,8,43
2023,Canada,TCS,Data Scientist,Mid,128315,91,High Demand,Low,88,7,40
2022,Germany,Microsoft,Data Analyst,Mid,119064,86,Growing Demand,Medium,70,7,39
2024,Canada,Meta,AI Engineer,Mid,130922,100,High Demand,Low,80,9,38
2022,India,Amazon,Data Analyst,Mid,39248,75,Growing Demand,Medium,88,6,43
2025,Germany,OpenAI,Data Scientist,Mid,156336,80,High Demand,Low,66,6,50
2025,UK,OpenAI,Mobile Developer,Mid,73504,66,Moderate Impact,High,61,7,49
2023,India,TCS,ML Engineer,Junior,39642,100,High Demand,Low,55,8,43
2025,USA,Microsoft,ML Engineer,Junior,211959,91,High Demand,Low,81,6,40
2024,India,NVIDIA,Full Stack Developer,Junior,13371,52,Moderate Impact,Medium,77,8,46
2022,UK,NVIDIA,Frontend Developer,Mid,98587,85,Moderate Impact,Medium,57,6,47
2022,Canada,Microsoft,Full Stack Developer,Mid,99877,83,Moderate Impact,High,80,8,44
2023,UK,Meta,Data Scientist,Junior,111034,95,High Demand,Low,81,6,41
2024,USA,Accenture,Data Analyst,Mid,169420,76,Growing Demand,Medium,58,9,49
2023,USA,IBM,Mobile Developer,Junior,95844,74,Moderate Impact,Medium,63,8,49
2023,Canada,Accenture,ML Engineer,Senior,144072,100,High Demand,Low,73,7,45
2022,USA,Amazon,ML Engineer,Senior,121959,79,High Demand,Low,78,10,39
2023,Australia,IBM,AI Engineer,Junior,154830,100,High Demand,Low,63,9,44
2022,Canada,Meta,Full Stack Developer,Mid,83091,52,Moderate Impact,Medium,89,8,49
2024,India,TCS,ML Engineer,Senior,49270,83,High Demand,Low,69,10,47
2023,Australia,Wipro,Full Stack Developer,Junior,85712,73,Moderate Impact,High,59,10,46
2024,India,Infosys,Backend Developer,Junior,33816,83,Moderate Impact,High,88,10,48
2025,UK,NVIDIA,Data Scientist,Junior,110913,84,High Demand,Low,70,8,39
2024,Canada,IBM,Data Analyst,Senior,77474,71,Growing Demand,Medium,61,8,45
2022,Australia,Google,Data Scientist,Mid,160001,100,High Demand,Low,73,9,47
2023,Germany,OpenAI,AI Engineer,Mid,123748,89,High Demand,Low,74,9,47
2025,Germany,Microsoft,AI Engineer,Mid,164744,86,High Demand,Low,89,8,35
2024,India,TCS,Full Stack Developer,Mid,25438,74,Moderate Impact,High,75,6,39
2024,Germany,NVIDIA,Backend Developer,Senior,107415,55,Moderate Impact,Medium,87,7,48
2025,India,TCS,ML Engineer,Mid,20063,83,High Demand,Low,50,10,47
2022,Canada,Wipro,Mobile Developer,Senior,98701,68,Moderate Impact,High,81,8,46
2024,India,Microsoft,Data Analyst,Mid,42221,96,Growing Demand,Medium,73,9,39
2023,Australia,OpenAI,Data Scientist,Mid,116639,90,High Demand,Low,83,6,47
2025,USA,Amazon,Data Analyst,Senior,155835,82,Growing Demand,Medium,51,10,41
2023,UK,Meta,ML Engineer,Mid,102755,83,High Demand,Low,75,7,36
2024,Canada,Microsoft,ML Engineer,Senior,116202,83,High Demand,Low,74,6,43
2023,Canada,Infosys,Data Scientist,Senior,147780,100,High Demand,Low,82,9,40
2022,Germany,NVIDIA,AI Engineer,Mid,153214,84,High Demand,Low,54,7,35
2022,Germany,Infosys,Backend Developer,Senior,86313,57,Moderate Impact,High,50,8,45
2024,Australia,IBM,Data Analyst,Mid,98795,98,Growing Demand,Medium,72,7,38
2023,Australia,Infosys,Data Analyst,Senior,100686,69,Growing Demand,Medium,76,7,40
2023,India,NVIDIA,Full Stack Developer,Mid,28966,65,Moderate Impact,High,76,9,44
2022,Australia,Wipro,Full Stack Developer,Junior,109960,60,Moderate Impact,Medium,90,7,43
2023,Australia,Google,Data Analyst,Senior,120438,78,Growing Demand,Medium,87,7,47
2022,India,Google,Mobile Developer,Junior,34807,90,Moderate Impact,High,52,9,35
2023,Canada,Infosys,Frontend Developer,Junior,86593,59,Moderate Impact,Medium,79,6,39
2024,Canada,Google,AI Engineer,Junior,108661,100,High Demand,Low,73,6,47
2024,Germany,Google,Data Analyst,Mid,123162,83,Growing Demand,Medium,63,10,45
2023,UK,Meta,Full Stack Developer,Senior,99776,83,Moderate Impact,Medium,57,10,44
2022,Canada,Wipro,AI Engineer,Mid,106913,100,High Demand,Low,59,6,47
2022,USA,Infosys,ML Engineer,Mid,161103,91,High Demand,Low,70,9,48
2022,Australia,Infosys,Frontend Developer,Mid,83563,86,Moderate Impact,Medium,73,9,42
2023,Canada,OpenAI,AI Engineer,Junior,107426,83,High Demand,Low,69,7,39
2024,USA,TCS,Frontend Developer,Senior,126693,76,Moderate Impact,High,69,8,39
2023,India,Google,Frontend Developer,Senior,38861,70,Moderate Impact,Medium,68,9,46
2025,Australia,IBM,Data Scientist,Mid,143767,100,High Demand,Low,57,7,37
2024,UK,NVIDIA,Mobile Developer,Senior,76455,70,Moderate Impact,High,50,7,46
2025,Germany,Meta,AI Engineer,Junior,144730,100,High Demand,Low,64,10,43
2024,Canada,NVIDIA,ML Engineer,Mid,125353,100,High Demand,Low,90,10,37
2024,India,Google,Full Stack Developer,Senior,14414,85,Moderate Impact,Medium,50,9,42
2024,Germany,TCS,Data Scientist,Senior,103906,80,High Demand,Low,71,10,48
2024,Canada,Infosys,Full Stack Developer,Junior,87116,85,Moderate Impact,Medium,86,8,49
2022,Australia,Accenture,Backend Developer,Mid,119210,78,Moderate Impact,Medium,59,9,41
2023,Canada,Amazon,ML Engineer,Senior,143113,80,High Demand,Low,63,6,39
2024,India,Accenture,ML Engineer,Mid,29069,100,High Demand,Low,66,9,35
2024,Germany,Google,ML Engineer,Junior,146795,83,High Demand,Low,69,8,39
2023,UK,Amazon,ML Engineer,Mid,119417,100,High Demand,Low,79,6,40
2023,USA,Wipro,Data Analyst,Senior,148140,91,Growing Demand,Medium,75,9,48
2024,India,Meta,Data Scientist,Junior,37838,99,High Demand,Low,52,6,47
2023,Germany,Microsoft,Data Analyst,Mid,87505,100,Growing Demand,Medium,69,8,43
2024,Australia,Amazon,Backend Developer,Junior,102271,76,Moderate Impact,High,79,8,37
2022,Germany,TCS,Data Scientist,Mid,111755,78,High Demand,Low,62,10,36
2022,Canada,IBM,Frontend Developer,Junior,79056,77,Moderate Impact,High,57,10,41
2025,Germany,Google,Data Analyst,Mid,98091,100,Growing Demand,Medium,80,10,35
2023,Australia,Meta,Data Scientist,Junior,128580,100,High Demand,Low,76,6,41
2024,Canada,Microsoft,Full Stack Developer,Junior,114733,70,Moderate Impact,Medium,54,8,49
2023,Australia,Meta,Frontend Developer,Senior,109354,72,Moderate Impact,High,82,8,41
2025,UK,Microsoft,Data Analyst,Mid,79934,98,Growing Demand,Medium,87,10,42
2024,USA,Meta,Mobile Developer,Mid,110460,67,Moderate Impact,High,88,7,48
2024,UK,OpenAI,ML Engineer,Junior,116139,92,High Demand,Low,63,10,42
2023,Australia,Infosys,Data Scientist,Junior,172761,78,High Demand,Low,67,6,44
2024,Canada,IBM,Data Scientist,Junior,121031,98,High Demand,Low,64,8,37
2025,Canada,Accenture,Frontend Developer,Mid,93396,91,Moderate Impact,High,57,10,40
2025,Germany,IBM,ML Engineer,Mid,145595,89,High Demand,Low,86,9,42
2022,Australia,Meta,Data Scientist,Junior,146805,96,High Demand,Low,73,6,36
2025,UK,Infosys,AI Engineer,Junior,142231,93,High Demand,Low,54,6,44
2025,Canada,Microsoft,AI Engineer,Junior,126090,92,High Demand,Low,82,8,36
2024,UK,Infosys,Data Analyst,Senior,78823,70,Growing Demand,Medium,88,7,41
2025,USA,OpenAI,AI Engineer,Mid,222270,97,High Demand,Low,63,10,43
2024,Australia,Wipro,Frontend Developer,Mid,126287,76,Moderate Impact,Medium,61,7,48
2024,UK,Accenture,Full Stack Developer,Senior,94160,63,Moderate Impact,High,69,8,42
2024,USA,Wipro,Frontend Developer,Senior,111398,91,Moderate Impact,Medium,79,8,39
2024,Canada,TCS,Backend Developer,Junior,77904,67,Moderate Impact,Medium,66,7,43
2022,Australia,IBM,Full Stack Developer,Mid,105123,63,Moderate Impact,Medium,69,8,38
2024,Canada,Meta,ML Engineer,Mid,157157,100,High Demand,Low,59,7,48
2025,India,Meta,AI Engineer,Mid,21395,100,High Demand,Low,66,7,45
2024,Canada,IBM,AI Engineer,Mid,162667,79,High Demand,Low,73,7,40
2022,India,Google,Data Analyst,Senior,32866,96,Growing Demand,Medium,67,9,38
2024,UK,Google,Data Analyst,Junior,109740,90,Growing Demand,Medium,70,8,46
2023,Germany,OpenAI,Data Analyst,Senior,118089,85,Growing Demand,Medium,71,10,39
2025,UK,Google,AI Engineer,Senior,121133,85,High Demand,Low,71,10,41
2024,USA,Microsoft,AI Engineer,Senior,182243,100,High Demand,Low,63,6,36
2022,USA,Accenture,Full Stack Developer,Senior,109898,58,Moderate Impact,Medium,75,10,50
2023,Australia,Amazon,Full Stack Developer,Mid,92200,69,Moderate Impact,High,75,7,38
2023,Canada,Google,Frontend Developer,Senior,90821,80,Moderate Impact,Medium,56,8,48
2024,UK,TCS,AI Engineer,Senior,102853,100,High Demand,Low,52,7,41
2025,Germany,Infosys,Full Stack Developer,Junior,111459,59,Moderate Impact,Medium,69,9,35
2022,UK,IBM,ML Engineer,Mid,105164,74,High Demand,Low,53,7,41
2024,Germany,TCS,Data Scientist,Senior,123244,100,High Demand,Low,79,6,44
2022,USA,OpenAI,Frontend Developer,Mid,115746,58,Moderate Impact,Medium,57,10,44
2024,Germany,Wipro,Data Analyst,Junior,124424,75,Growing Demand,Medium,73,7,44
2022,Germany,NVIDIA,Data Scientist,Senior,117421,71,High Demand,Low,84,6,47
2025,UK,Wipro,Data Analyst,Junior,78551,100,Growing Demand,Medium,75,10,50
2024,Australia,Amazon,Frontend Developer,Senior,85479,78,Moderate Impact,Medium,89,7,36
2025,UK,Meta,AI Engineer,Senior,106395,86,High Demand,Low,79,9,36
2022,India,IBM,Mobile Developer,Mid,29670,64,Moderate Impact,High,52,8,42
2025,Australia,Accenture,Frontend Developer,Mid,130281,84,Moderate Impact,Medium,84,7,43
2024,India,Accenture,Full Stack Developer,Senior,23171,53,Moderate Impact,Medium,50,9,41
2022,UK,Meta,Data Scientist,Senior,126071,100,High Demand,Low,50,9,50
2023,Germany,NVIDIA,Mobile Developer,Junior,125643,86,Moderate Impact,High,60,9,41
2023,Canada,Meta,ML Engineer,Mid,135314,100,High Demand,Low,50,9,38
2024,Australia,IBM,ML Engineer,Senior,144577,80,High Demand,Low,61,10,44
2024,Canada,Accenture,Frontend Developer,Junior,114961,62,Moderate Impact,Medium,51,8,39
2023,UK,Wipro,ML Engineer,Mid,142201,82,High Demand,Low,84,6,47
2023,Germany,NVIDIA,Full Stack Developer,Junior,108881,81,Moderate Impact,Medium,82,8,41
2022,USA,Infosys,Data Scientist,Junior,191883,82,High Demand,Low,61,10,35
2023,UK,NVIDIA,Frontend Developer,Senior,82825,66,Moderate Impact,High,70,7,50
2022,India,Google,Mobile Developer,Mid,39794,56,Moderate Impact,Medium,64,8,39
2025,Canada,Microsoft,Mobile Developer,Junior,116522,80,Moderate Impact,Medium,86,10,36
2022,USA,Google,ML Engineer,Junior,126835,100,High Demand,Low,67,10,47
2022,Australia,Infosys,AI Engineer,Senior,96960,86,High Demand,Low,51,7,45
2022,Canada,Accenture,AI Engineer,Mid,113344,83,High Demand,Low,85,9,36
2022,Germany,OpenAI,Backend Developer,Junior,91878,81,Moderate Impact,Medium,57,6,50
2022,UK,Infosys,Mobile Developer,Junior,66860,83,Moderate Impact,High,63,7,38
2022,UK,Google,Full Stack Developer,Senior,63909,71,Moderate Impact,High,79,7,49
2024,USA,Accenture,AI Engineer,Senior,186827,96,High Demand,Low,70,10,36
2023,USA,TCS,Data Analyst,Mid,143478,94,Growing Demand,Medium,89,7,48
2022,India,Meta,ML Engineer,Junior,22698,80,High Demand,Low,82,6,35
2024,UK,Google,Backend Developer,Junior,103510,79,Moderate Impact,Medium,82,10,37
2025,India,Infosys,ML Engineer,Junior,28951,100,High Demand,Low,88,8,49
2025,USA,IBM,AI Engineer,Senior,198862,100,High Demand,Low,86,6,39
2024,Germany,TCS,Full Stack Developer,Junior,103268,76,Moderate Impact,High,53,8,48
2025,USA,Infosys,AI Engineer,Senior,164100,89,High Demand,Low,69,10,42
2025,India,Accenture,Frontend Developer,Senior,33286,72,Moderate Impact,High,83,10,41
2022,USA,Infosys,Backend Developer,Junior,120768,54,Moderate Impact,High,83,7,42
2025,UK,OpenAI,AI Engineer,Mid,115988,100,High Demand,Low,84,8,35
2024,Canada,Accenture,Data Scientist,Junior,123178,100,High Demand,Low,78,8,40
2024,USA,Accenture,Full Stack Developer,Junior,164715,65,Moderate Impact,Medium,72,7,38
2023,India,Microsoft,Full Stack Developer,Senior,23512,76,Moderate Impact,High,84,10,41
2022,Australia,NVIDIA,Backend Developer,Mid,83144,76,Moderate Impact,Medium,77,6,46
2022,UK,OpenAI,Data Analyst,Mid,94213,77,Growing Demand,Medium,89,8,36
2025,UK,Infosys,Backend Developer,Senior,70907,92,Moderate Impact,Medium,81,8,35
2025,Germany,Amazon,Data Scientist,Senior,130972,100,High Demand,Low,84,9,41
2025,Australia,OpenAI,Data Analyst,Mid,128295,79,Growing Demand,Medium,60,9,50
2022,Germany,IBM,Full Stack Developer,Senior,87017,81,Moderate Impact,Medium,61,6,47
2024,Australia,NVIDIA,Frontend Developer,Junior,108124,78,Moderate Impact,Medium,75,6,47
2025,UK,NVIDIA,Data Scientist,Mid,101729,99,High Demand,Low,67,10,48
2024,UK,NVIDIA,AI Engineer,Junior,142506,84,High Demand,Low,59,9,41
2023,Australia,Amazon,Mobile Developer,Junior,94203,65,Moderate Impact,High,56,9,41
2023,Germany,OpenAI,Backend Developer,Junior,98910,78,Moderate Impact,Medium,62,9,43
2023,Australia,OpenAI,Backend Developer,Mid,123688,88,Moderate Impact,High,90,6,42
2023,Canada,Meta,Frontend Developer,Junior,91873,77,Moderate Impact,High,83,7,49
2022,Canada,IBM,AI Engineer,Junior,132456,85,High Demand,Low,77,7,40
2024,UK,NVIDIA,Data Scientist,Mid,107347,91,High Demand,Low,52,8,40
2024,Canada,OpenAI,Frontend Developer,Senior,94308,62,Moderate Impact,High,77,7,39
2023,UK,NVIDIA,ML Engineer,Senior,123240,100,High Demand,Low,84,9,49
2025,India,IBM,Data Analyst,Senior,30430,80,Growing Demand,Medium,56,6,37
2023,Canada,Microsoft,ML Engineer,Junior,108909,100,High Demand,Low,55,9,50
2025,Australia,OpenAI,Data Analyst,Senior,101316,97,Growing Demand,Medium,68,8,37
2025,UK,Google,Backend Developer,Senior,88300,63,Moderate Impact,High,69,9,45
2025,India,Google,Backend Developer,Mid,36450,60,Moderate Impact,Medium,82,6,37
2025,Germany,OpenAI,Frontend Developer,Senior,134629,71,Moderate Impact,Medium,56,9,37
2022,India,TCS,Backend Developer,Mid,28295,70,Moderate Impact,Medium,77,6,47
2022,Germany,Wipro,Full Stack Developer,Senior,94391,73,Moderate Impact,Medium,78,10,49
2022,Australia,NVIDIA,Backend Developer,Mid,103904,91,Moderate Impact,High,60,9,39
2025,Canada,Meta,Data Scientist,Junior,109225,100,High Demand,Low,66,6,47
2023,Germany,OpenAI,Data Scientist,Junior,125369,100,High Demand,Low,50,6,40
2024,Australia,Accenture,Backend Developer,Junior,114893,81,Moderate Impact,Medium,90,9,38
2024,Germany,Amazon,Mobile Developer,Junior,80056,70,Moderate Impact,Medium,55,7,38
2023,USA,Meta,Full Stack Developer,Senior,163399,68,Moderate Impact,High,86,8,36
2025,Germany,Microsoft,AI Engineer,Mid,149139,100,High Demand,Low,76,7,49
2023,Australia,Wipro,Backend Developer,Junior,82996,67,Moderate Impact,High,79,10,41
2023,Germany,Meta,Data Scientist,Mid,169944,95,High Demand,Low,78,8,45
2025,Canada,NVIDIA,Backend Developer,Mid,85970,85,Moderate Impact,High,53,8,44
2024,Germany,NVIDIA,AI Engineer,Junior,156671,83,High Demand,Low,55,7,46
2025,USA,TCS,Data Analyst,Mid,160109,99,Growing Demand,Medium,56,6,50
2025,Australia,Google,Backend Developer,Mid,98429,61,Moderate Impact,Medium,87,6,47
2025,Australia,Infosys,Backend Developer,Mid,121429,57,Moderate Impact,Medium,88,9,37
2025,Germany,Google,AI Engineer,Mid,171794,100,High Demand,Low,81,8,44
2023,Canada,Meta,Mobile Developer,Senior,112856,86,Moderate Impact,Medium,67,6,42
2025,USA,Microsoft,ML Engineer,Mid,197674,100,High Demand,Low,88,10,43
2022,Germany,Google,AI Engineer,Mid,126051,82,High Demand,Low,75,10,39
2025,India,Wipro,Data Scientist,Senior,37720,100,High Demand,Low,50,8,48
2025,Australia,IBM,Full Stack Developer,Junior,130713,65,Moderate Impact,High,75,6,46
2024,Germany,Amazon,AI Engineer,Mid,134941,100,High Demand,Low,61,7,43
2023,Germany,Microsoft,ML Engineer,Junior,165176,100,High Demand,Low,64,10,35
2025,USA,Infosys,ML Engineer,Junior,225986,100,High Demand,Low,86,6,39
2022,Australia,TCS,Full Stack Developer,Senior,83771,88,Moderate Impact,Medium,89,6,43
2022,Canada,OpenAI,Backend Developer,Mid,90731,74,Moderate Impact,High,68,6,47
2024,UK,Amazon,Frontend Developer,Senior,74368,75,Moderate Impact,High,81,7,49
2022,Germany,Wipro,Data Analyst,Senior,104820,100,Growing Demand,Medium,84,9,43
2025,USA,IBM,Frontend Developer,Mid,133460,87,Moderate Impact,Medium,66,10,43
2022,Australia,OpenAI,Backend Developer,Junior,89575,75,Moderate Impact,High,66,9,35
2022,Canada,Infosys,Frontend Developer,Mid,101024,89,Moderate Impact,Medium,79,8,49
2024,Germany,Infosys,Frontend Developer,Junior,83748,60,Moderate Impact,Medium,59,9,40
2024,India,Accenture,AI Engineer,Junior,22031,100,High Demand,Low,52,8,49
2023,Canada,TCS,Backend Developer,Junior,95448,62,Moderate Impact,High,61,7,50
2023,UK,OpenAI,Full Stack Developer,Senior,80971,57,Moderate Impact,Medium,60,6,38
2023,Canada,Amazon,Frontend Developer,Senior,89187,73,Moderate Impact,Medium,72,9,39
2024,USA,Google,Full Stack Developer,Junior,174190,70,Moderate Impact,High,63,10,35
2022,USA,Infosys,AI Engineer,Mid,137844,100,High Demand,Low,79,9,48
2024,Germany,Accenture,Backend Developer,Mid,91075,65,Moderate Impact,Medium,86,8,48
2023,Germany,IBM,AI Engineer,Senior,144738,89,High Demand,Low,75,10,38
2025,USA,Google,Mobile Developer,Mid,182212,61,Moderate Impact,Medium,71,6,35
2025,Australia,Microsoft,Frontend Developer,Junior,93091,67,Moderate Impact,High,66,7,41
2022,UK,Infosys,AI Engineer,Senior,105723,80,High Demand,Low,60,9,50
2023,UK,OpenAI,Frontend Developer,Junior,95293,72,Moderate Impact,High,78,10,36
2024,Germany,Microsoft,Data Scientist,Junior,131542,100,High Demand,Low,59,8,48
2023,Australia,IBM,Data Scientist,Junior,106703,100,High Demand,Low,67,7,36
2025,UK,Wipro,ML Engineer,Senior,150406,100,High Demand,Low,75,7,50
2022,Canada,NVIDIA,Data Scientist,Senior,95176,100,High Demand,Low,59,7,47
2024,Canada,Infosys,ML Engineer,Mid,115937,100,High Demand,Low,84,6,46
2024,India,Microsoft,AI Engineer,Mid,41330,100,High Demand,Low,79,9,42
2025,UK,Infosys,Frontend Developer,Mid,73640,74,Moderate Impact,High,75,9,49
2025,India,TCS,Frontend Developer,Mid,38753,75,Moderate Impact,Medium,63,9,44
2024,USA,Google,Full Stack Developer,Senior,134412,92,Moderate Impact,Medium,90,6,46
2024,India,Accenture,Backend Developer,Mid,24599,69,Moderate Impact,Medium,71,9,39
2025,USA,Google,Backend Developer,Mid,132684,85,Moderate Impact,Medium,77,10,47
2024,UK,Meta,Data Analyst,Mid,101074,76,Growing Demand,Medium,69,8,39
2023,Germany,TCS,AI Engineer,Mid,171601,89,High Demand,Low,50,9,49
2024,UK,Microsoft,Full Stack Developer,Mid,90052,63,Moderate Impact,High,64,7,41
2024,India,Accenture,AI Engineer,Mid,35913,86,High Demand,Low,74,7,36
2023,Canada,Accenture,Data Scientist,Junior,117392,91,High Demand,Low,58,10,48
2024,USA,Microsoft,Frontend Developer,Senior,109916,75,Moderate Impact,High,68,7,44
2025,Australia,Infosys,Data Scientist,Senior,162018,85,High Demand,Low,54,8,37
2023,USA,Wipro,AI Engineer,Mid,206943,100,High Demand,Low,53,9,48
2024,India,IBM,Mobile Developer,Mid,40454,85,Moderate Impact,Medium,70,8,39
2024,Canada,IBM,Backend Developer,Senior,81346,82,Moderate Impact,Medium,52,10,36
2024,Australia,Infosys,Frontend Developer,Senior,88821,77,Moderate Impact,Medium,89,10,40
2024,USA,OpenAI,Data Scientist,Mid,230234,96,High Demand,Low,83,6,48
2023,UK,Microsoft,Mobile Developer,Mid,89896,66,Moderate Impact,High,56,8,47
2022,UK,IBM,AI Engineer,Junior,108683,100,High Demand,Low,79,9,48
2025,UK,OpenAI,ML Engineer,Junior,153100,80,High Demand,Low,54,10,45
2023,Germany,Wipro,ML Engineer,Senior,96241,100,High Demand,Low,80,8,50
2025,Australia,OpenAI,Data Analyst,Junior,124659,88,Growing Demand,Medium,87,10,44
2025,India,Microsoft,ML Engineer,Senior,49511,100,High Demand,Low,68,9,39
2023,India,Meta,Frontend Developer,Senior,27286,71,Moderate Impact,Medium,51,6,48
2025,UK,Wipro,AI Engineer,Junior,134446,93,High Demand,Low,57,8,46
2022,India,Accenture,AI Engineer,Junior,48044,92,High Demand,Low,51,7,50
2025,Australia,Wipro,Data Scientist,Mid,137858,93,High Demand,Low,73,7,45
2024,Germany,Accenture,Data Scientist,Senior,113543,96,High Demand,Low,62,8,46
2025,India,Amazon,Data Analyst,Senior,31216,83,Growing Demand,Medium,65,8,36
2024,India,Accenture,Data Analyst,Mid,40630,77,Growing Demand,Medium,76,10,48
2025,USA,OpenAI,Full Stack Developer,Junior,128373,62,Moderate Impact,Medium,86,9,35
2022,UK,Accenture,AI Engineer,Mid,142536,88,High Demand,Low,89,8,35
2025,Canada,NVIDIA,Backend Developer,Mid,114418,63,Moderate Impact,Medium,57,10,37
2022,Germany,Google,Data Analyst,Mid,78036,76,Growing Demand,Medium,62,9,45
2022,India,Microsoft,ML Engineer,Mid,27665,100,High Demand,Low,53,10,36
2023,Canada,Infosys,Mobile Developer,Junior,113041,64,Moderate Impact,High,67,10,35
2023,UK,OpenAI,Frontend Developer,Senior,98996,77,Moderate Impact,Medium,81,10,48
2023,UK,Microsoft,Data Analyst,Junior,97207,91,Growing Demand,Medium,85,10,38
2023,USA,Microsoft,Backend Developer,Senior,145528,61,Moderate Impact,High,74,10,48
2023,India,Wipro,Mobile Developer,Senior,14766,78,Moderate Impact,High,58,8,43
2022,USA,Wipro,ML Engineer,Junior,232101,100,High Demand,Low,79,8,48
2023,Germany,Accenture,ML Engineer,Junior,105435,100,High Demand,Low,54,8,37
2023,Canada,Microsoft,Data Scientist,Senior,98106,91,High Demand,Low,62,6,44
2023,UK,Infosys,Full Stack Developer,Senior,67564,82,Moderate Impact,Medium,78,7,46
2024,USA,Accenture,Frontend Developer,Mid,150412,67,Moderate Impact,Medium,71,8,45
2024,UK,Accenture,ML Engineer,Senior,95612,93,High Demand,Low,76,6,48
2022,Australia,Microsoft,Full Stack Developer,Junior,85944,77,Moderate Impact,Medium,69,6,50
2024,UK,Microsoft,ML Engineer,Mid,136254,84,High Demand,Low,57,8,39
2025,India,Accenture,Full Stack Developer,Senior,25434,72,Moderate Impact,High,65,9,41
2023,Canada,Meta,ML Engineer,Junior,122142,73,High Demand,Low,52,10,36
2024,India,Wipro,ML Engineer,Junior,48835,100,High Demand,Low,77,6,42
2025,Germany,Google,AI Engineer,Junior,148132,81,High Demand,Low,74,9,47
2022,USA,Wipro,Mobile Developer,Mid,159497,78,Moderate Impact,High,86,9,40
2024,India,Wipro,Backend Developer,Senior,14572,72,Moderate Impact,High,55,9,39
2025,India,IBM,Backend Developer,Mid,14675,91,Moderate Impact,High,52,9,38
2024,Germany,Google,Data Scientist,Senior,136275,92,High Demand,Low,60,8,37
2022,Canada,Google,Frontend Developer,Junior,83708,74,Moderate Impact,Medium,72,8,40
2022,UK,IBM,Full Stack Developer,Mid,70832,80,Moderate Impact,High,60,7,50
2025,UK,Amazon,Frontend Developer,Mid,88331,70,Moderate Impact,Medium,67,10,43
2022,USA,OpenAI,Frontend Developer,Junior,90409,84,Moderate Impact,Medium,76,7,40
2022,Australia,Meta,Backend Developer,Senior,97179,78,Moderate Impact,High,72,8,36
2024,UK,Microsoft,Frontend Developer,Junior,76359,88,Moderate Impact,Medium,77,9,36
2023,UK,NVIDIA,Data Scientist,Senior,115754,100,High Demand,Low,59,7,42
2023,Canada,OpenAI,Backend Developer,Mid,100665,91,Moderate Impact,High,53,7,35
2022,USA,Amazon,Backend Developer,Junior,154709,60,Moderate Impact,Medium,88,9,48
2023,India,Amazon,Mobile Developer,Mid,21686,66,Moderate Impact,High,61,8,44
2023,Canada,Google,Frontend Developer,Mid,97698,73,Moderate Impact,Medium,52,7,36
2022,Canada,Wipro,AI Engineer,Mid,144919,87,High Demand,Low,78,9,46
2022,UK,Microsoft,Backend Developer,Mid,79692,71,Moderate Impact,Medium,84,10,43
2025,Australia,Meta,Backend Developer,Mid,121980,75,Moderate Impact,High,86,6,45
2023,India,Microsoft,Data Analyst,Junior,40578,100,Growing Demand,Medium,52,8,49
2022,Germany,Wipro,Backend Developer,Junior,87950,65,Moderate Impact,High,72,7,45
2025,Germany,NVIDIA,ML Engineer,Mid,125866,90,High Demand,Low,79,8,43
2025,USA,NVIDIA,ML Engineer,Senior,244126,97,High Demand,Low,88,9,48
2023,India,TCS,Data Analyst,Junior,39230,71,Growing Demand,Medium,65,10,46
2024,India,TCS,Data Scientist,Junior,34938,97,High Demand,Low,86,8,46
2022,Canada,Amazon,Full Stack Developer,Junior,96654,64,Moderate Impact,High,56,6,45
2022,USA,TCS,ML Engineer,Senior,162461,100,High Demand,Low,64,10,36
2025,UK,Infosys,Full Stack Developer,Mid,98544,85,Moderate Impact,High,77,10,42
2023,USA,Infosys,Full Stack Developer,Mid,102456,88,Moderate Impact,Medium,57,7,43
2023,UK,Wipro,Full Stack Developer,Junior,66974,69,Moderate Impact,Medium,63,9,40
2023,Canada,Amazon,Frontend Developer,Mid,95262,67,Moderate Impact,Medium,90,8,42
2022,Germany,Wipro,Data Scientist,Junior,92705,100,High Demand,Low,68,7,37
2023,India,Meta,Frontend Developer,Junior,20784,86,Moderate Impact,Medium,82,9,49
2022,India,OpenAI,Data Analyst,Mid,24331,71,Growing Demand,Medium,67,7,43
2022,India,Infosys,Mobile Developer,Mid,36043,77,Moderate Impact,Medium,59,9,39
2023,UK,OpenAI,Data Analyst,Senior,91791,75,Growing Demand,Medium,79,10,48
2024,USA,Accenture,AI Engineer,Junior,157121,100,High Demand,Low,83,7,40
2024,India,Meta,Mobile Developer,Junior,19004,78,Moderate Impact,High,82,8,39
